och;and
en lära;1. a teaching- a doctrine- a philosophy- 2. a science
att medge;1. to admit- to allow- to permit- 2. to concede
ologisk;illogical (loan word)
en alkohol;an alcohol (loan word)
en invandring;an immigration (not a loan word)
en arbetarklass;a working class
att identifiera;to identify (loan word)
en rasism;a racism (loan word)
en ståndpunkt;a standpoint
en granne;a neighbour
en rang;a rank
att resultera (i);to result in (loan word)
en karriär;1. a career- 2. [~stege] career ladder (loan word)
en trend;a trend (loan word)
ett kontor;an office
att jaga;to chase- to hunt
en yttrandefrihet;a freedom of speech
en fortsättning;1. a sequel- a continuation- 2. [i ~en] in future- from now on- hereafter
diverse;various- diverse (loan word)
att stöta på;to come across- to run into
att förneka;to deny- to contradict- to renounce
väsentlig;essential
manlig;male- masculine
en demonstration;a demonstration (loan word)
en färd;1. a journey- 2. [att vara i ~ med att göra något] to be in the process of doing something
en efterfrågan;1. an inquiry- 2. demand (for goods etc.)- 2. [utbud och ~] supply and demand
en kandidat;1. a candidate- an applicant- a nominee- 2. a university graduate- 3. [~examen] bachelor's degree- 4. [medicin~] graduate in medicine (loan word)
att upprätthålla;to uphold- to maintain- to keep up
ett fördrag;1. a treaty- a formal agreement- a contract- 2. [~ om förbud mot kärnvapenspridning] non-proliferation treaty
ett instrument;an instrument (loan word)
att analysera;to analyse (loan word)
en lögn;1. a lie- 2. [en vit~] a white lie
ett yttrande;an utterance- a remark- a comment
tillfällig;temporary
varav;of whom- of which
en doktor;a doctor (loan word)
olaglig;1. unlawful- illegal- illicit- 2. [USA:s ~a ockupation av Irak] the USA’s illegal occupation of Iraq (not a loan word)
att gränsa till;to border on
en vision;a vision (not in the sense of 'eyesight') (loan word)
framöver;for the future- beyond
över;over
en omgivning;a surroundings
ett bistånd;1. an aid (e.g development aid)- an assistance (e.g. humanitarian) after a catastrophe
att ansluta;1. to connect- 2. [att ~ sig till] join- attach oneself to- to agree with- to enter into (an agreement)
en bas;1. a base- 2. a bass- 3. a boss
en fil;1. a lane (in traffic)- 2. a computer file- 3. a row (of sth.)- 4. a file (tool)- 5. (a) soured milk
att föredra;to prefer
hemma;1. at home- [känn dig som ~!] make yourself at home!- 3.  [~fru] housewife- stay-at-home mom
sönder;broken- asunder
etablerad;established (loan word)
att välkomna;to welcome
att tillverka;to manufacture- to produce (not a loan word)
en ambition;1. an ambition- 2. a sense of duty- a conscientiousness (loan word)
en aktie;a share- a stock of a company (loan word)
att anklaga;to accuse
ett dygn;1. a day (24 hours)- 2. [~et runt] round the clock- day and night
att hata;to hate
att gissa;to guess
en mur;1. a wall- 2. an outside wall- dividing two areas of land- 3. [Kinesiska ~en] the Great Wall of China- 4. [Berlin~en] the Berlin Wall
en tjänsteman;a civil servant- a clerk
ett led;1. a row- a line- 2. a lead (e.g. in police investigation)- 3. a joint (part of skeleton)
att beakta;to pay attention to- to observe- notice- heed
till följd av;as a consequence of (not: "på grund av")
att reglera;to regulate (loan word)
en kristdemokrat;a Christian democrat
en flod;a river
en talare;1. a speaker- 2. [modersmåls~] native speaker- 3. [hög~] loudspeaker
ett mörker;a darkness
en begränsning;a limitation
en värme;1. a heat- a warmth- 2. a heating (e.g. in a house)
ett agerande;an action- taking action (not "en aktion")
en minoritet;a minority (loan word)
att etablera;to establish (loan word)
en dam;a lady- a madam
spansk;Spanish
ett motiv;a motive (loan word)
en olikhet;a dissimilarity
rättslig;1. legal- 2. [en ~ skyldighet] a legal obligation (not a loan word)
en utställning;an exhibition
utomlands;abroad
en huvudstad;a capital city
ett öra;1. an ear- 2. a handle (of a cup)- 3. [att ta någon i ~t] to tell someone off- 4. [att vara på ~t] to be slightly drunk
aktivt;actively (loan word)
en granskning;1. (an) examining- (a) scrutiny- 2. an inspection- a check-up- an audit- 3. a review (e.g. a product)
en balans;a balance (loan word)
en mage;1. a stomach- 2. [att ha ~ att göra något] to have the nerve to do sth.
att teckna;1. to draw- sketch- depict- 2. to make a sign- 3. to sign up for sth.- to subscribe to sth.- 4. [att ~ en försäkring] to take out insurance- 5. [en ~d film] a cartoon
arg;1. angry- 2. [att bli ~ på någon] to get angry with someone
att säkra;to secure
en lunch;1. a lunch- 2. [en ~rast] a lunch break (loan word)
en kommunist;a communist (loan word)
en militär;1. a soldier- a service man- 2. (a) military- (the) armed forces- an army (loan word)
en gåva;1. a gift- in both senses- a) a present- b) a talent- an ability- 2. a donation- 3. a bequest- a legacy
för närvarande;1. currently- for the time being- 2. [numret kan inte nås ~] the number you are calling is currently unavailable
alternativ;alternative (loan word)
befintlig;existing (often used with buildings- infrastructure and so on)
att hälsa;1. to greet- to salute- 2. to say hello from- 3. [att ~ på] to visit (particle verb- "på" is stressed)
en socialism;a socialism (loan word)
ursprunglig;original- prime
en anställning;a salaried job (with a long-term employment contract)
en ansökan;an application (e.g. for a job)
en protest;a protest (loan word)
ett test;a test (loan word)
en anda;1. a breath- 2. a spirit- an atmosphere
galen;crazy- mad
en katastrof;a catastrophe (loan word)
ett citat;1. a quotation- 2. [~tecken] quotation marks- inverted commas
en palestinier;a Palestinian
ett utrymme;1. a space- room (to put things or people- for example)- 2. a scope
förr;1. formerly- before- 2. [~ eller senare] sooner or later- 3. [nu och ~] now and in the past
svårt;1. seriously- badly- 1a. [~sjuk] seriously ill- 2. [hon hade ~ att förstå det] she had difficulties understanding it- 3. [att ha det ~] to suffer greatly- to be badly off (financially)- to have a hard time
stark;1. strong- 2. [~ mat] hot spicy food
att påminna;to remind
en aktör;1. an actor (stage- film)- 2. an active participant- 3. (on stock market) an operator (loan word from French)
klassisk;classical (loan word)
omkring;1. around- 2. [runt ~] round about
en fokus;a focus (loan word)
officiell;official (loan word)
att beröra;to touch- to affect- to concern
palestinsk;Palestinian
en ägare;1. an owner- 2. [han är ~ till en segelbåt] he owns a sailing boat- he is the owner of a sailing boat
ett kapital;a capital- funds- e.g. for starting a business (loan word)
relevant;relevant (loan word)
en minister;a minister (loan word)
att anpassa;1. to adapt (oneself)- 2. to adjust sth.- 3. to acclimatize
en glädje;a joy- a pleasure
en titel;1. a title- 2. [~n på boken] the title of the book (loan word)
något;something- anything (NOT: "någonting")
en utgångspunkt;a starting point (not a loan word)
ett nätverk;a network
en scen;1. a scene- 2. a stage (e.g. in a theatre)- 3. [jag går aldrig upp på ~ utan den] I never go on stage without it
en kassa;1. a checkout- a till- a cash desk- 2. a box office- 3. money- funds- 4. takings- 5. [a-~] unemployment benefit- the office for this
en flygplats;an airport
en tingsrätt;a district court- a city court (in Stockholm- Göteborg- Malmö)
en avdelning;a department- a division (not a loan word)
att säkerställa;1. to make sure- 2. to secure- 3. to guarantee
en åklagare;a prosecutor
att lysa;1. to shed light- to shine- to beam- 2. to call out and make known
ett lidande;a suffering
att syna;1. to look closely at something- 2. to call (poker)
en standard;a standard (loan word)
en olycka;1. an accident a disaster- 2. a bad luck- a misfortune- 3. [det betyder ~] that will bring bad luck
en term;1. a term- a technical word or expression- 2. a term- e.g. in maths (loan word)
en maskin;1. a machine- 2. [en disk~] a dishwasher (loan word)
en transport;a transport- a transportation (loan word)
etisk;ethical (loan word)
en fattigdom;1. a poverty- 2. [att kämpa mot ~en] to fight against poverty
att servera;to serve- to wait on (loan word)
intern;internal (loan word)
trolig;probable- plausible- believable
ett golv;1. a floor- 2. [trä~] hardwood floor- parquet flooring
en förmiddag;1. a morning- 2. [i morgon ~] tomorrow morning
ett statsråd;a minister (not a loan word)
att inrätta;1. to set up- to start- to found- 2. to arrange- to organise- 3. [att ~ sig] to settle down- to adapt oneself to sth.
en närhet;1. a neighborhood- 2. a vicinity- 3. a nearness- a proximity- 4. a closeness- an intimacy
en semester;1. a vacation- a holiday- 2. [han är på ~] he is on holiday
därigenom;by that means
en ras;a race- a breed of animal (loan word)
en tysk;a German
en favorit;a favourite (loan word)
ett framsteg;a progress- a step forward
en tillvaro;an existence- a life (not a loan word)
faktisk;1. actual- 2 real- factual- 3. virtual
stolt;1. proud- 2. [jag är ~ över mig själv] I am proud of myself
strax;1. soon- immediately- 2. close- nearby- 3. [är du klar? - jag kommer ~!] are you done? - I’ll be with you right away!
att strida;to fight- to be in conflict
angelägen;1. urgent- important (thing)- 2. anxious- eager (person)
att skylla;to blame (s.o.)
ont om;(to be) short of sth.
att engagera;1. to hire- retain- employ s.o.- 2. [att ~ sig] to be actively involved in sth. - 3. [hon är mycket ~d i jobbet] she is very committed to her job (loan word)
en beräkning;a calculation- a computation- an estimate
välkommen;welcome
ideologisk;ideological (loan word)
ett finger;a finger
ett hål;a hole
en prövning;1. an examination (education)- a trial (legal)- 2. a testing- a challenge- 3. an investigation- 4. a close look- a probation period- 5. an ordeal- 6. a temptation (Biblical)
vettig;1. sensible- reasonable- judicious- 2. [ingen ~ människa] nobody in their right mind- 3. [han är inte riktigt ~] he is not all there (e.g. not of sound mind)
komplicerad;complicated (loan word)
sund;1. sound- healthy- 2. salubrious- wholesome- 3. [vara ~ till kropp och själ] be of sound mind and body
en domare;a judge- a referee
en frukt;a fruit
likt;like (not: "lik")
en terrorist;a terrorist (loan word)
en besökare;a visitor
ett hushåll;a household
att respektera;to respect (loan word)
fullständig;1. complete- full- 2. [ditt ~t namn] your complete name
mäktig;powerful
växande;growing- increasing
stabil;stable (loan word)
en förvaltning;1. an administration- management- 2. (used in plural) public administration- government services (not a loan word)
ett hat;a hate
ett mönster;a pattern
nyss;1. just now- a moment ago- only just- 2. [han gick alldeles ~] he went just a moment ago
ett varumärke;a brand- a trademark
en fastighet;1. a property- (a) real estate- 2. (in plural) premises
att inta;to enter- to conquer- to take into possession
orolig;1. worried- anxious- 2. restless
att rulla;to roll
en moral;a moral (loan word)
att motivera;1. to justify- substantiate- 2. to motivate- 3. [~ ditt svar] give reasons for your answer
en myt;a myth (loan word)
noga;1. precisely- accurately- 2. closely- 3. strictly- 4. carefully
att snacka;to chat- to talk (colloquial)
till sist;1. in the end- finally- after all- 2. [det blir nog bra ~] things will probably work out in the end
att förmedla;1. to convey- get a message across- 2. to mediate- act as an intermediary- 3. to procure- bring about
en kamera;a camera (loan word)
självständig;independent- able to do things by yourself
socialistisk;socialist (loan word)
att framställa;1. to depict- to portray- to describe- 2. to manufacture- to produce
en ända;1. an end- an extremity- a tip- 2. a bit- a piece- 3. [~n på brödet] the “end” of the bread- i.e. the crust- 4. a behind- bum- ass- arse (informal)
en mångfald;1. a great number (of)- 2. (a) diversity- 3. (maths) a multiple- 4. [Europas kulturella ~] Europe's cultural diversity
en strand;a beach
en pension;a pension (loan word)
hem;1. home (as destination)- 2. [att komma ~] to come home- 3. [att gå ~] to go home
en diskriminering;a discrimination (loan word)
att misstänka;to suspect
ett utsläpp;1. a spill (e.g. oil spill)- a dumping- 2. a release- 3. an emission (e.g. air pollution from cars)
att logga in/ut;to log in/out (loan word)
en medicin;1. a medicine- 2. medicine as a field of study (loan word)
en sport;a sport (used in general sense- not as a school subject) (loan word)
en rättvisa;a justice (not a loan word)
en eld;1. a fire (in general sense- also in sense of gunfire)- 2. [att sätta ~ på något] to set fire to something
individuell;individual (loan word)
därifrån;from there
ifrån;1. away- 2. [så långt hem~] so far from home- 2. [kan du komma ~ en stund?] can you get away for a while?
yttre;outer- external- kept outside
arabisk;Arabic (loan word)
att erhålla;1. to receive- 2. to obtain (formal)
moralisk;moral (loan word)
revolutionär;revolutionary (loan word)
att vandra;1. to wander- to hike- to walk- 2. to migrate (people- birds- animals)
att registrera;to register (loan word)
att argumentera;to argue (loan word)
ett kök;a kitchen
att uppgå;to amount to
visst;1. certainly- 2. [ja ~!] of course! absolutely! 3. [jo ~- men ...] well- yes- but ...
